"gene","logFC","logCPM","F","PValue","FDR"
"ABI1",0.0746629391442112,6.51947427177703,3.99995032764645,0.0461362444480385,0.108315483444362
"INPPL1",0.0615219789109832,7.45191950944232,3.99867625216753,0.0461707937832373,0.10837963516447
"CCDC200",0.10437825438437,1.26776402336176,3.99781550549543,0.0461946087556557,0.108415919343244
"SCAF8",-0.0819369344841175,5.01654198253892,3.9975740760889,0.0462007047301264,0.108415919343244
"LLCFC1",0.217455705204223,0.492406588517275,3.99704120954191,0.0462168749785312,0.108430449326841
"AP2M1",0.094246456596864,8.54802407259855,3.99681363502969,0.0462213520494032,0.108430449326841
"ADD2",-0.100977721822127,3.29699062382917,3.99580054145924,0.0462489181090955,0.108478153451009
"LTBP1",0.19760220583368,1.38784284226845,3.99163330904283,0.0463626994620966,0.108727139912167
"TOMM70",-0.0673804170875068,5.00015062407084,3.99136569017342,0.0463695668016294,0.108727139912167
"SNAI3",0.0868132820249465,5.25230676398218,3.99026038224454,0.0463996980044397,0.108780789101829
"SPRY3",0.096235391770311,1.80779579783877,3.98988660951761,0.046410115151582,0.108788210547505
"XPOTP1",-0.114180997501898,0.988086799982729,3.98962564443048,0.0464176995227556,0.108788990507793
"ABRAXAS1",-0.105437404133867,2.61521132671818,3.98344044680808,0.046586159984274,0.109165946202811
"PDE3B",-0.139055388110217,5.36122528077919,3.98316225639161,0.0465936936826132,0.109165946202811
"CLN8",-0.0555767326227733,4.5518694033386,3.98264651036717,0.0466078253897607,0.109165946202811
"DNPEP",0.0716153777035532,5.83311219853473,3.98258426926074,0.046609527911189,0.109165946202811
"TBC1D9",-0.0967090190729025,4.61076329538433,3.98238751754012,0.046614921435489,0.109165946202811
"CYP27A1",0.211344406801824,6.22718529721601,3.98200459996163,0.046625414078694,0.109173476199246
"LRR1",0.0735787074746463,2.90692573808306,3.98091059551645,0.0466554773511802,0.109226821351811
"NUDCD2",-0.0863231317535797,2.98719028811935,3.97955154699076,0.0466927659883347,0.109297062779997
"ZER1",0.144314043759492,7.29959417021289,3.97653283066452,0.0467756543854315,0.109467646468323
"GDPD1",-0.0996454069386272,0.720795819789247,3.97640603895755,0.0467802347359298,0.109467646468323
"BMP8A",-0.110397057342073,2.55681643994848,3.97602009910697,0.0467898504163903,0.109471939025405
"UVRAG",0.045985597916672,5.12710324673358,3.9755997970233,0.0468013248064625,0.109471939025405
"CPLANE2",-0.0679872221414703,1.74227439181569,3.97551294283658,0.0468039605991834,0.109471939025405
"LIMD1-AS1",-0.0975997735601734,0.631521281812014,3.9750971154813,0.0468163662254094,0.109483885598378
"LTK",-0.142800048249305,4.3477471293979,3.97188401068225,0.0469037066681678,0.10966471872775
"MPC1",0.0552526830852845,4.27816925610788,3.97171705866387,0.046908312230101,0.10966471872775
"FAM161B",-0.0697785070921989,1.86659488814064,3.9687782891478,0.0469896594183392,0.109837779774684
"NCF4-AS1",0.147966902912585,0.720375107253074,3.96828250784506,0.0470042528216948,0.109854775016524
"TRMT12",-0.0570559422178938,3.3638551820031,3.96759126438077,0.0470223103993511,0.109879859908266
"FAM167A",-0.227010070626753,1.13251526623648,3.96631854690963,0.0470580894926321,0.109924820549231
"BAZ2A",0.0736308822805301,7.62533365736658,3.96628881074083,0.04705830746493,0.109924820549231
"RPS17",-0.0605665769433931,3.11083195441516,3.96610199305882,0.0470635330214443,0.109924820549231
"COX7B",0.177871515785388,3.24925843803992,3.96574979840451,0.0470732842489282,0.109930481055794
"STK19",0.0610775861267666,3.79922115306118,3.96466379707556,0.0471033260874462,0.10998351719282
"GATD1",-0.0550457610916836,5.60863696861367,3.96360022740699,0.0471327902848364,0.110033269239387
"DNAJC11",-0.0585549898471284,4.34751159984247,3.96336550810216,0.0471393028530556,0.110033269239387
"IFIT1B",0.352878993553138,3.82765410293073,3.96186245552586,0.0471810311557658,0.110110409939638
"ERP29",0.0684394285247083,7.55880164671905,3.96156627525771,0.0471892200005976,0.110110409939638
"CCT6P2",-0.0766799028851567,0.959341560450541,3.96140714558769,0.0471943698114834,0.110110409939638
"ENTR1",-0.0494544359157091,5.23579746083124,3.96031425910854,0.0472239920419213,0.110162389770316
"PLEKHM2",0.064666048665021,7.17551398362036,3.95795060160301,0.047289709989061,0.110298543105705
"CSRP1-AS1",-0.0707430743072442,1.61295482514802,3.95678607641638,0.0473224187284339,0.110352614923943
"TMEM222",0.0762343984332371,6.53653570737003,3.95658924962137,0.0473276046140945,0.110352614923943
"MCRS1",0.0611392351975092,6.56052676113419,3.95449980281668,0.0473858289693552,0.1104578171208
"EHMT1",-0.0474511297298829,6.29995862489274,3.95444170377336,0.047387449072755,0.1104578171208
